"Time (s)"	"Illuminance (lx)"
7.010411550E0	7.030000000E2
7.050442995E0	7.000000000E2
7.090466433E0	9.310000000E2
7.130481393E0	4.620000000E2
7.210489636E0	2.320000000E2
7.250503268E0	0.000000000E0
8.170990925E0	1.000000000E0
8.331107878E0	0.000000000E0
8.451209479E0	3.100000000E1
8.491265964E0	6.300000000E1
8.531308815E0	9.500000000E1
8.571358073E0	1.270000000E2
8.611394792E0	9.600000000E1
8.651433308E0	9.700000000E1
8.811542175E0	9.600000000E1
8.851555222E0	9.500000000E1
8.891567995E0	9.600000000E1
8.971607761E0	9.700000000E1
9.131713425E0	9.600000000E1
9.251782761E0	1.660000000E2
9.291803229E0	2.360000000E2
9.331812995E0	3.070000000E2
9.371842683E0	3.760000000E2
9.411870417E0	3.070000000E2
9.451902800E0	3.060000000E2
9.611932722E0	3.070000000E2
9.811992331E0	3.080000000E2
9.852008737E0	3.100000000E2
9.892023386E0	3.090000000E2
1.001200506E1	3.080000000E2
1.005199718E1	3.090000000E2
1.009198307E1	3.120000000E2
1.013199042E1	3.130000000E2
1.021201526E1	3.140000000E2
1.025202839E1	3.130000000E2
1.029204257E1	4.450000000E2
1.033205655E1	5.790000000E2
1.037206675E1	5.780000000E2
1.041208905E1	7.110000000E2
1.045211382E1	7.130000000E2
1.049212725E1	7.150000000E2
1.053213729E1	7.160000000E2
1.057214589E1	7.170000000E2
1.065219518E1	7.140000000E2
1.073224639E1	7.100000000E2
1.081230413E1	7.090000000E2
1.101247807E1	7.100000000E2
1.105250756E1	7.070000000E2
1.113256788E1	7.030000000E2
1.117257952E1	7.040000000E2
1.121260069E1	7.030000000E2
1.125261702E1	7.020000000E2
1.133263678E1	2.340000000E2
1.141266214E1	0.000000000E0
1.153276300E1	1.000000000E0
1.169286635E1	0.000000000E0
1.221315464E1	3.300000000E1
1.225317870E1	6.500000000E1
1.229319061E1	9.600000000E1
1.233319885E1	1.280000000E2
1.237319538E1	9.600000000E1
1.253328718E1	9.700000000E1
1.261331827E1	9.600000000E1
1.269337440E1	9.700000000E1
1.281346846E1	9.800000000E1
1.289353276E1	9.700000000E1
1.293356100E1	9.600000000E1
1.297359686E1	9.700000000E1
1.301362593E1	9.900000000E1
1.305365702E1	1.000000000E2
1.309368050E1	1.010000000E2
1.313370995E1	1.020000000E2
